Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,20.0,0.0,0.0,0.0,
1961,21.0,0.0,0.0,0.0,
1962,17.0,0.0,0.0,0.0,
1963,8.0,0.0,0.0,0.0,33270.0
1964,10.0,17.0,0.0,0.0,35652.0
1965,11.0,22.0,0.0,0.0,39071.0
1966,10.0,1.0,0.0,0.0,42672.0
1967,10.0,0.0,0.0,0.0,44420.0
1968,8.0,0.0,0.0,0.0,48696.0
1969,8.0,0.0,0.0,0.0,52817.0
1970,7.0,0.0,0.0,0.0,53714.0
1971,9.0,0.0,0.0,0.0,57975.0
1972,9.0,0.0,0.0,0.0,62940.0
1973,8.0,0.0,0.0,0.0,69836.0
1974,10.0,0.0,0.0,0.0,74206.0
1975,7.0,0.0,0.0,0.0,78141.0
1976,8.0,0.0,0.0,0.0,87419.0
1977,6.0,468.0,0.0,0.0,96995.0
1978,5.0,2425.0,0.0,0.0,107554.0
1979,4.0,3163.0,0.0,0.0,117117.0
1980,6.0,2119.0,0.0,0.0,121228.0
1981,6.0,4407.0,0.0,0.0,132782.0
1982,5.0,3226.0,0.0,0.0,134636.0
1983,135.0,4904.0,0.0,0.0,144897.0
1984,164.0,4312.0,0.0,0.0,163854.0
1985,175.0,1943.0,0.0,0.0,174165.0
1986,172.0,24.0,0.0,0.0,182644.0
1987,225.0,7513.0,0.0,0.0,191784.0
1988,187.0,8455.0,0.0,0.0,205308.0
1989,130.0,12661.0,0.0,0.0,217817.0
1990,181.0,10664.0,0.0,0.0,227413.0
1991,154.0,14833.0,0.0,0.0,233975.0
1992,253.0,14805.0,0.0,0.0,250650.0
1993,190.0,10011.0,0.0,0.0,259612.0
1994,192.0,10952.0,0.0,0.0,281925.0
1995,232.0,16768.0,0.0,0.0,297538.0
1996,397.0,13919.0,0.0,0.0,311120.0
1997,507.0,15331.0,0.0,0.0,332476.0
1998,406.0,16476.0,0.0,0.0,364985.0
1999,423.0,16422.0,0.0,0.0,378814.0
2000,583.0,16781.0,0.0,0.0,395127.0
2001,511.0,15464.0,0.0,0.0,398945.0
2002,488.0,10865.0,0.0,0.0,414216.0
2003,511.0,8475.0,0.0,0.0,428667.0
2004,730.0,15950.0,0.0,0.0,451195.0
2005,516.0,14803.0,0.0,13.0,467392.0
2006,632.0,16847.0,0.0,14.0,480097.0
2007,410.0,15764.0,0.0,15.0,492925.0
2008,386.0,17514.0,0.0,15.0,492745.0
2009,528.0,15206.0,0.0,14.0,479526.0
2010,429.0,15805.0,13.0,13.0,498989.0
2011,384.0,14890.0,15.0,198.0,528567.0
2012,414.0,17087.0,36.0,985.0,550299.0
2013,549.0,16121.0,43.0,1146.0,565256.0
2014,478.0,16284.0,51.0,1153.0,591333.0
2015,,,,,610928.0
