Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,6165.0,0.0,0.0,0.0,,0
1961.0,5595.0,0.0,0.0,0.0,,0
1962.0,5982.0,0.0,0.0,0.0,,0
1963.0,5979.0,0.0,0.0,0.0,1841.0,0
1964.0,6293.0,0.0,0.0,0.0,1946.0,0
1965.0,6641.0,0.0,0.0,0.0,2197.0,0
1966.0,6828.0,0.0,0.0,0.0,2273.0,0
1967.0,6897.0,0.0,0.0,0.0,2335.0,0
1968.0,6746.0,0.0,0.0,0.0,2497.0,0
1969.0,6280.0,0.0,0.0,0.0,2750.0,0
1970.0,7076.0,0.0,0.0,0.0,3015.0,0
1971.0,7469.0,0.0,0.0,0.0,3265.0,0
1972.0,7844.0,0.0,0.0,0.0,3773.0,0
1973.0,8279.0,0.0,0.0,0.0,4481.0,0
1974.0,9686.0,0.0,0.0,0.0,5186.0,0
1975.0,10274.0,0.0,0.0,0.0,5835.0,0
1976.0,10372.0,0.0,0.0,0.0,6591.0,0
1977.0,6749.0,0.0,0.0,0.0,7206.0,0
1978.0,9871.0,0.0,0.0,0.0,8450.0,0
1979.0,9165.0,0.0,0.0,0.0,9286.0,0
1980.0,9507.0,0.0,0.0,0.0,9916.0,0
1981.0,9507.0,0.0,0.0,0.0,10677.0,0
1982.0,11591.0,0.0,0.0,0.0,10689.0,0
1983.0,12771.0,0.0,0.0,0.0,11834.0,0
1984.0,13195.0,0.0,0.0,0.0,12586.0,0
1985.0,10863.0,0.0,0.0,0.0,13044.0,0
1986.0,12153.0,0.0,0.0,0.0,13220.0,0
1987.0,8105.0,0.0,0.0,0.0,13996.0,0
1988.0,6745.0,0.0,0.0,0.0,15285.0,0
1989.0,9349.0,0.0,0.0,0.0,16909.0,0
1990.0,9115.0,0.0,0.0,0.0,18004.0,0
1991.0,8745.0,0.0,0.0,0.0,18852.0,0
1992.0,6654.0,0.0,0.0,0.0,20632.0,0
1993.0,9715.0,0.0,0.0,0.0,23100.0,0
1994.0,7916.0,0.0,0.0,0.0,25455.0,0
1995.0,10989.0,0.0,0.0,0.0,27762.0,0
1996.0,13283.0,0.0,0.0,0.0,28915.0,0
1997.0,14676.0,0.0,0.0,0.0,30312.0,0
1998.0,12936.0,0.0,0.0,0.0,31142.0,0
1999.0,13499.0,0.0,0.0,0.0,34302.0,0
2000.0,10967.0,0.0,0.0,0.0,38216.0,0
2001.0,7223.0,0.0,0.0,0.0,37611.0,0
2002.0,8769.0,0.0,0.0,0.0,38897.0,0
2003.0,8354.0,0.0,0.0,0.0,40703.0,0
2004.0,8462.0,0.0,0.0,0.0,43610.0,0
2005.0,8542.0,0.0,0.0,0.0,47176.0,0
2006.0,11242.0,0.0,0.0,170.0,51157.0,0
2007.0,9022.0,0.0,0.0,172.0,54507.0,0
2008.0,9363.0,0.0,0.0,207.0,55853.0,0
2009.0,10434.0,0.0,0.0,313.0,53882.0,0
2010.0,9154.0,0.0,0.0,441.0,55258.0,0
2011.0,13405.0,0.0,0.0,1307.0,56744.0,0
2012.0,10940.0,0.0,0.0,1891.0,58105.0,0
2013.0,8473.0,0.0,0.0,2460.0,60969.0,0
2014.0,9002.0,0.0,0.0,2806.0,63050.0,0
