,HYTCP,WYTCP,SOEGP,NUETP,
1960,6165,0,0,0,
1961,5595,0,0,0,
1962,5982,0,0,0,
1963,5979,0,0,0,1841
1964,6293,0,0,0,1946
1965,6641,0,0,0,2197
1966,6828,0,0,0,2273
1967,6897,0,0,0,2335
1968,6746,0,0,0,2497
1969,6280,0,0,0,2750
1970,7076,0,0,0,3015
1971,7469,0,0,0,3265
1972,7844,0,0,0,3773
1973,8279,0,0,0,4481
1974,9686,0,0,0,5186
1975,10274,0,0,0,5835
1976,10372,0,0,0,6591
1977,6749,0,0,0,7206
1978,9871,0,0,0,8450
1979,9165,0,0,0,9286
1980,9507,0,0,0,9916
1981,9507,0,0,0,10677
1982,11591,0,0,0,10689
1983,12771,0,0,0,11834
1984,13195,0,0,0,12586
1985,10863,0,0,0,13044
1986,12153,0,0,0,13220
1987,8105,0,0,0,13996
1988,6745,0,0,0,15285
1989,9349,0,0,0,16909
1990,9115,0,0,0,18004
1991,8745,0,0,0,18852
1992,6654,0,0,0,20632
1993,9715,0,0,0,23100
1994,7916,0,0,0,25455
1995,10989,0,0,0,27762
1996,13283,0,0,0,28915
1997,14676,0,0,0,30312
1998,12936,0,0,0,31142
1999,13499,0,0,0,34302
2000,10967,0,0,0,38216
2001,7223,0,0,0,37611
2002,8769,0,0,0,38897
2003,8354,0,0,0,40703
2004,8462,0,0,0,43610
2005,8542,0,0,0,47176
2006,11242,0,0,170,51157
2007,9022,0,0,172,54507
2008,9363,0,0,207,55853
2009,10434,0,0,313,53882
2010,9154,0,0,441,55258
2011,13405,0,0,1307,56744
2012,10940,0,0,1891,58105
2013,8473,0,0,2460,60969
2014,9002,0,0,2806,63050
,,,,,65549
